northpre,eastpre
21.19881303,0.013516089
21.80770548,0.022908678
22.42369118,0.033744019
23.04669223,0.0461249
23.67663006,0.060149754
24.31342552,0.075912789
24.95699888,0.093504119
25.60726999,0.113009899
26.26415827,0.134512451
26.9275828,0.158090391
27.59746238,0.183818758
28.2737156,0.211769136
28.95626086,0.242009778
29.64501649,0.274605724
30.33990071,0.309618918
31.04083177,0.347108326
31.74772794,0.387130045
32.46050759,0.429737414
33.17908919,0.474981124
33.90339141,0.522909316
34.6333331,0.573567686
35.36883337,0.626999584
36.1098116,0.683246108
36.85618746,0.742346197
37.607881,0.804336722
38.36481259,0.86925257
39.12690304,0.937126729
39.89407353,1.007990373
40.66624573,1.081872933
41.44334174,1.158802178
42.22528414,1.238804287
43.01199603,1.321903917
43.80340102,1.40812427
44.59942324,1.497487163
45.39998738,1.590013083
46.2050187,1.685721251
47.01444299,1.784629679
47.82818668,1.886755225
48.64617673,1.992113643
49.46834075,2.10071964
50.29460694,2.212586915
51.1249041,2.327728214
51.95916167,2.446155369
52.79730971,2.567879343
53.63927891,2.692910267
54.4850006,2.821257485
55.33440673,2.952929582
56.18742991,3.087934428
57.04400339,3.226279207
57.90406104,3.367970448
58.76753741,3.513014058
59.63436766,3.661415351
60.50448763,3.813179076
61.37783378,3.96830944
62.25434322,4.126810139
63.13395371,4.288684376
64.01660364,4.453934889
64.90223205,4.622563968
65.79077862,4.794573482
66.68218366,4.96996489
66.38336874,4.584970859
67.24277641,4.739945982
68.10556429,4.898057019
68.97166764,5.059323581
69.84102232,5.223763842
70.71356481,5.391394616
71.58923218,5.562231421
72.46796214,5.736288558
73.34969302,5.913579167
74.23436375,6.094115293
75.12191391,6.277907942
76.01228368,6.464967138
76.90541389,6.655301976
77.80124598,6.848920668
78.69972201,7.045830596
79.60078466,7.24603835
80.50437725,7.449549775
81.4104437,7.656370011
82.31892856,7.866503527
83.22977697,8.079954161
84.14293472,8.296725154
85.05834818,8.516819179
85.97596432,8.740238373
86.89573073,8.966984366
87.81759559,9.197058311
88.74150768,9.430460905
89.66741635,9.667192414
90.59527156,9.907252702
91.52502383,10.15064125
92.45662427,10.39735716
93.39002454,10.64739921
94.3251769,10.90076584
95.26203415,11.15745518
96.20054964,11.41746509
97.1406773,11.68079312
98.08237158,11.94743659
99.02558747,12.21739255
99.97028053,12.49065782
100.9164068,12.76722902
101.8639229,13.04710253
102.812786,13.33027455
103.7629536,13.61674109
104.7143839,13.90649797
105.6670356,14.19954087
106.6208677,14.49586527
107.5758401,14.79546654
108.5319126,15.09833989
109.4890461,15.40448038
110.4472015,15.71388297
111.4063405,16.02654248
112.3664251,16.34245363
113.3274177,16.66161101
114.2892813,16.98400914
115.2519793,17.30964241
116.2154756,17.63850515
117.1797345,17.97059158
118.1447206,18.30589585
119.1103992,18.64441202
120.0767358,18.9861341
121.0436965,19.33105601
120.4209909,19.09853359
121.3452613,19.43004968
122.2707437,19.76507758
123.1973964,20.10360218
124.1251782,20.4456088
125.0540482,20.79108323
125.983966,21.14001161
126.9148917,21.49238048
127.8467859,21.8481767
128.7796093,22.20738745
129.7133234,22.57000022
130.64789,22.93600274
131.5832712,23.30538304
132.5194297,23.67812936
133.4563285,24.05423014
134.3939312,24.43367407
135.3322015,24.81645
136.2711038,25.20254696
137.2106028,25.59195414
138.1506636,25.98466089
139.0912517,26.38065671
140.032333,26.77993122
140.9738739,27.18247416
141.9158409,27.58827539
142.8582013,27.99732488
143.8009225,28.40961269
144.7439723,28.82512898
145.687319,29.243864
146.6309313,29.66580807
147.574778,30.0909516
148.5188286,30.51928505
149.4630529,30.95079898
150.4074208,31.38548398
151.3519028,31.82333071
152.2964698,32.26432989
153.2410928,32.70847229
154.1857434,33.15574873
155.1303935,33.60615008
156.0750151,34.05966725
157.0195808,34.5162912
157.9640635,34.97601291
158.9084364,35.43882342
159.8526728,35.90471381
160.7967467,36.37367517
161.7406322,36.84569865
162.6843037,37.32077542
163.6277361,37.79889669
164.5709042,38.28005368
165.5137836,38.76423768
166.4563499,39.25143997
167.398579,39.74165187
168.3404471,40.23486474
169.2819309,40.73106996
170.2230071,41.23025893
171.1636528,41.73242307
172.1038454,42.23755386
173.0435625,42.74564277
173.9827821,43.2566813
174.9214822,43.77066099
175.8596414,44.28757339
175.1429041,44.07197095
176.0354733,44.57365933
176.9280109,45.07884976
177.8204917,45.58751228
178.7128903,46.09961828
179.6051812,46.61514034
180.4973393,47.13405225
181.3893392,47.65632882
182.2811557,48.18194591
183.1727635,48.71088028
184.0641377,49.24310957
184.9552531,49.77861224
185.846085,50.3173675
186.7366084,50.85935525
187.6267989,51.40455607
188.5166318,51.95295114
189.4060829,52.50452223
190.2951279,53.05925163
191.1837427,53.61712213
192.0719036,54.17811699
192.9595869,54.7422199
193.846769,55.30941497
194.7334265,55.87968669
195.6195365,56.45301989
196.505076,57.02939975
197.3900222,57.60881176
198.2743527,58.1912417
199.158045,58.77667563
200.0410772,59.36509985
200.9234273,59.95650093
201.8050736,60.55086565
202.6859947,61.14818101
203.5661693,61.74843421
204.4455764,62.35161263
205.3241951,62.95770386
206.2020049,63.56669562
207.0789853,64.17857581
207.9551162,64.79333249
208.8303776,65.41095384
209.7047498,66.03142819
210.5782132,66.654744
211.4507485,67.28088985
212.3223366,67.90985443
213.1929587,68.54162655
214.0625959,69.17619511
214.9312299,69.81354913
215.7988424,70.45367771
216.6654153,71.09657006
217.5309307,71.74221546
218.395371,72.39060329
219.2587187,73.04172299
220.1209566,73.69556409
220.9820675,74.35211621
221.8420347,75.01136903
222.7008414,75.67331228
223.5584711,76.33793579
224.4149075,77.00522944
225.2701346,77.67518318
226.1241363,78.347787
226.976897,79.02303098
226.8982646,77.60520207
227.7735388,78.15741606
228.6517583,78.70774686
229.5328889,79.25618807
230.4168971,79.80273288
231.3037501,80.34737411
232.1934158,80.8901042
233.0858629,81.4309153
233.9810606,81.96979925
234.8789788,82.50674763
235.779588,83.04175179
236.6828593,83.57480286
237.5887642,84.10589179
238.4972748,84.63500934
239.4083638,85.16214613
240.3220044,85.68729266
241.2381699,86.21043929
242.1568346,86.73157631
243.0779728,87.25069389
244.0015594,87.76778216
244.9275697,88.28283118
245.8559793,88.79583097
246.7867643,89.30677151
247.7199011,89.81564275
248.6553664,90.32243465
249.5931372,90.82713715
250.5331911,91.32974019
251.4755057,91.83023373
252.420059,92.32860775
253.3668294,92.82485225
254.3157955,93.31895726
255.2669361,93.81091286
256.2202304,94.30070917
257.175658,94.78833634
258.1331983,95.27378461
259.0928314,95.75704425
260.0545374,96.23810559
261.0182968,96.71695903
261.9840901,97.19359506
262.9518983,97.6680042
263.9217023,98.14017707
264.8934835,98.61010436
265.8672234,99.07777685
266.8429036,99.54318538
267.820506,100.0063209
268.8000128,100.4671744
269.7814061,100.925737
270.7646685,101.3819998
271.7497824,101.8359542
272.7367309,102.2875916
273.7254967,102.7369033
274.7160631,103.1838809
275.7084133,103.628516
276.7025308,104.0708005
277.6983992,104.510726
278.6960023,104.9482845
279.695324,105.383468
280.6963484,105.8162686
281.6990596,106.2466785
282.7034419,106.6746899
282.0085,106.3696112
282.9709321,106.7733051
283.935852,107.1746347
284.9032219,107.5736052
285.8730052,107.9702209
286.8451666,108.3644849
287.8196715,108.7563993
288.7964867,109.1459652
289.7755796,109.533183
290.7569186,109.9180521
291.7404729,110.3005715
292.7262125,110.6807394
293.7141081,111.0585532
294.704131,111.4340101
295.6962534,111.8071066
296.6904478,112.1778388
297.6866874,112.5462025
298.6849461,112.9121929
299.6851981,113.2758052
300.6874182,113.6370341
301.6915816,113.9958741
302.6976641,114.3523194
303.7056416,114.706364
304.7154909,115.0580019
305.7271886,115.4072268
306.7407122,115.7540323
307.7560392,116.0984118
308.7731476,116.4403588
309.7920157,116.7798665
310.8126221,117.1169282
311.8349455,117.4515372
312.8589653,117.7836864
313.8846608,118.1133692
314.9120118,118.4405786
315.9409983,118.7653078
316.9716003,119.0875498
318.0037985,119.4072979
319.0375734,119.7245452
320.072906,120.0392849
321.1097774,120.3515103
322.1481689,120.6612146
323.188062,120.9683911
324.2294386,121.2730333
325.2722804,121.5751345
326.3165696,121.8746884
327.3622885,122.1716883
328.4094196,122.4661281
329.4579455,122.7580012
330.507849,123.0473016
331.559113,123.3340231
332.6117208,123.6181595
333.6656556,123.8997048
334.7209009,124.1786532
335.7774402,124.4549988
336.8352573,124.7287358
337.894336,124.9998586
338.9546605,125.2683614
340.0162148,125.5342388
341.0789833,125.7974854
342.1429505,126.0580957
341.4604739,125.6782082
342.4801326,125.9165466
343.5017998,126.1521158
344.5254396,126.3849287
345.551017,126.614997
346.5784982,126.8423307
347.6078499,127.0669389
348.6390399,127.2888292
349.6720368,127.5080084
350.7068098,127.7244822
351.7433289,127.9382554
352.7815647,128.1493321
353.8214885,128.3577154
354.863072,128.5634079
355.9062878,128.7664115
