Time,StepCount,cgShipMotion.ned.north [57 real output],cgShipMotion.ned.east [58 real output],cgShipMotion.ned.down [59 real output],cgShipMotion.angularDisplacement.yaw [73 real output],cgShipMotion.angularDisplacement.pitch [70 real output],cgShipMotion.angularDisplacement.roll [67 real output]
0.05,1,0,0,-1.024,360,0,0
0.15,3,0,0,-1.024,360,0,0
0.25,5,0,0,-1.024,360,0,0
0.35,7,0,0,-1.024,360,0,0
0.45,9,0,0,-1.024,360,0,0
0.55,11,0,0,-1.024,360,0,0
0.65,13,0,0,-1.024,360,0,0
0.75,15,0,0,-1.024,360,0,0
0.85,17,0,0,-1.024,360,0,0
0.95,19,0,0,-1.024,360,0,0
1.05,21,0,0,-1.024,360,0,0
1.15,23,0,0,-1.024,360,0,0
1.25,25,0,0,-1.024,360,0,0
1.35,27,0,0,-1.024,360,0,0
