Time,StepCount,cgShipMotion.ned.north [57 real output],cgShipMotion.ned.east [58 real output],cgShipMotion.ned.down [59 real output],cgShipMotion.angularDisplacement.yaw [73 real output],cgShipMotion.angularDisplacement.pitch [70 real output],cgShipMotion.angularDisplacement.roll [67 real output]
903.35,18067,58.7339,22.3862,-1.03364,145.768,-0.00770147,-1.03728
903.45,18069,58.5532,22.525,-1.03371,145.515,-0.00621125,-0.984617
903.55,18071,58.3719,22.6639,-1.03369,145.251,-0.00464758,-0.942637
903.65,18073,58.1902,22.8029,-1.03358,144.977,-0.0030801,-0.911258
903.75,18075,58.008,22.9421,-1.0334,144.693,-0.00157296,-0.890246
903.85,18077,57.8254,23.0814,-1.03315,144.399,-0.000186893,-0.879268
903.95,18079,57.6423,23.221,-1.03284,144.095,0.00102072,-0.877921
904.05,18081,57.4589,23.3608,-1.03248,143.781,0.00200082,-0.885672
904.15,18083,57.2752,23.5009,-1.03209,143.459,0.0027109,-0.901909
904.25,18085,57.0911,23.6413,-1.03166,143.127,0.00311578,-0.925951
904.35,18087,56.9068,23.7821,-1.03122,142.786,0.00318653,-0.957073
904.45,18089,56.7222,23.9233,-1.03077,142.437,0.00290449,-0.994463
904.55,18091,56.5375,24.0648,-1.03032,142.08,0.00226051,-1.0372
904.65,18093,56.3526,24.2068,-1.02989,141.714,0.00125377,-1.08432
904.75,18095,56.1675,24.3492,-1.02947,141.341,-0.000101769,-1.13477
904.85,18097,55.9823,24.4922,-1.02909,140.961,-0.00178234,-1.18746
904.95,18099,55.7971,24.6357,-1.02873,140.574,-0.00375456,-1.2413
905.05,18101,55.6118,24.7798,-1.02842,140.18,-0.00598066,-1.29521
905.15,18103,55.4265,24.9244,-1.02815,139.78,-0.00841553,-1.34811
905.25,18105,55.2413,25.0697,-1.02793,139.374,-0.0110051,-1.39892
905.35,18107,55.0561,25.2157,-1.02775,138.963,-0.0136917,-1.44665
905.45,18109,54.871,25.3623,-1.02763,138.546,-0.0164118,-1.49032
905.55,18111,54.6861,25.5096,-1.02755,138.124,-0.0191013,-1.52903
905.65,18113,54.5013,25.6577,-1.02752,137.697,-0.0216924,-1.56197
905.75,18115,54.3167,25.8065,-1.02753,137.266,-0.0241164,-1.58838
905.85,18117,54.1323,25.9561,-1.02758,136.83,-0.0263089,-1.6076
905.95,18119,53.9482,26.1065,-1.02766,136.389,-0.0282077,-1.61907
906.05,18121,53.7644,26.2577,-1.02778,135.944,-0.0297549,-1.62233
906.15,18123,53.581,26.4097,-1.02791,135.496,-0.0308945,-1.61699
906.25,18125,53.3978,26.5625,-1.02807,135.043,-0.0315799,-1.60283
906.35,18127,53.2151,26.7162,-1.02823,134.587,-0.0317693,-1.57968
906.45,18129,53.0328,26.8707,-1.0284,134.128,-0.0314292,-1.54752
906.55,18131,52.8509,27.0262,-1.02856,133.665,-0.0305336,-1.50642
906.65,18133,52.6695,27.1825,-1.02871,133.199,-0.0290673,-1.45658
906.75,18135,52.4886,27.3397,-1.02884,132.729,-0.0270211,-1.39824
906.85,18137,52.3082,27.4978,-1.02895,132.257,-0.0243964,-1.3318
906.95,18139,52.1284,27.6569,-1.02904,131.782,-0.0212037,-1.25772
907.05,18141,51.9492,27.8169,-1.02908,131.305,-0.0174616,-1.17653
907.15,18143,51.7706,27.9778,-1.02909,130.825,-0.0131993,-1.08888
907.25,18145,51.5927,28.1396,-1.02906,130.342,-0.00845267,-0.995443
907.35,18147,51.4154,28.3025,-1.02898,129.857,-0.00326574,-0.896985
907.45,18149,51.2389,28.4662,-1.02885,129.371,0.00231309,-0.794271
907.55,18151,51.0631,28.631,-1.02868,128.882,0.00822686,-0.688149
907.65,18153,50.888,28.7967,-1.02846,128.391,0.0144129,-0.579501
907.75,18155,50.7137,28.9634,-1.02819,127.899,0.0208053,-0.469217
907.85,18157,50.5403,29.1311,-1.02788,127.405,0.0273368,-0.358169
907.95,18159,50.3677,29.2997,-1.02753,126.909,0.0339343,-0.247286
908.05,18161,50.196,29.4694,-1.02714,126.412,0.0405266,-0.137439
908.15,18163,50.0251,29.6401,-1.02671,125.914,0.0470417,-0.0294975
