time, stepNumber, cgShipMotion.ned.north [REAL OUTPUT], cgShipMotion.ned.east [REAL OUTPUT], cgShipMotion.ned.down [REAL OUTPUT], cgShipMotion.angularDisplacement.yaw [REAL OUTPUT], cgShipMotion.angularDisplacement.pitch [REAL OUTPUT], cgShipMotion.angularDisplacement.roll [REAL OUTPUT], cgShipMotion.linearVelocity.surge [REAL OUTPUT], cgShipMotion.linearVelocity.sway [REAL OUTPUT], cgShipMotion.angularVelocity.yaw [REAL OUTPUT]
0.00000000, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.00000000, 1, 0.0, 0.0, -1.0240002, 360.0, 0.0, 0.0, 0.0, 0.0, 0.0
2.00000000, 2, 0.027892550805159327, 0.0, -1.0248179437541785, 360.0, 0.022563802863759676, 0.0, 0.053127403202323696, 0.0, 0.0
3.00000000, 3, 0.10890277015958326, 0.0, -1.0254893904368332, 360.0, 0.040645079851154835, 0.0, 0.10623298436021432, 0.0, 0.0
4.00000000, 4, 0.24247691513550354, 0.0, -1.0247993079447708, 360.0, 0.029805469378537217, 0.0, 0.15830283070825138, 0.0, 0.0
5.00000000, 5, 0.42756788942480495, 0.0, -1.0243637637396732, 360.0, 0.021623658090379368, 0.0, 0.20931630668895132, 0.0, 0.0
6.00000000, 6, 0.6631180472668067, 0.0, -1.0248238950929247, 360.0, 0.025315521368153425, 0.0, 0.25927191265066396, 0.0, 0.0
7.00000000, 7, 0.9480716453578696, 0.0, -1.0250293439594569, 360.0, 0.026702566883651892, 0.0, 0.3081732016605915, 0.0, 0.0
8.00000000, 8, 1.28137759480301, 0.0, -1.024719738473661, 360.0, 0.023743763151473238, 0.0, 0.35602610338100005, 0.0, 0.0
9.00000000, 9, 1.6619903918595245, 0.0, -1.0245992524316414, 360.0, 0.02269947043559392, 0.0, 0.40283671381397035, 0.0, 0.0
10.00000000, 10, 2.0888715889080403, 0.0, -1.0247530815339487, 360.0, 0.02335177801079415, 0.0, 0.44861271413885156, 0.0, 0.0
11.00000000, 11, 2.560991755342907, 0.0, -1.0247835148378681, 360.0, 0.022853736887093454, 0.0, 0.49336387720994185, 0.0, 0.0
12.00000000, 12, 3.0773316729805966, 0.0, -1.024672823908633, 360.0, 0.021773184661738526, 0.0, 0.5371009736196498, 0.0, 0.0
13.00000000, 13, 3.6368831038330156, 0.0, -1.024637695282161, 360.0, 0.021365323660734497, 0.0, 0.5798354052087709, 0.0, 0.0
14.00000000, 14, 4.238649819582805, 0.0, -1.0246745426884043, 360.0, 0.021157181062224764, 0.0, 0.6215796124069433, 0.0, 0.0
15.00000000, 15, 4.881648575202486, 0.0, -1.0246672661993825, 360.0, 0.020607506692888904, 0.0, 0.6623469432520255, 0.0, 0.0
16.00000000, 16, 5.564909722651913, 0.0, -1.0246245754500651, 360.0, 0.020024876500727103, 0.0, 0.7021512823182804, 0.0, 0.0
17.00000000, 17, 6.287477717323113, 0.0, -1.024607896282139, 360.0, 0.019634250548453715, 0.0, 0.741006984256167, 0.0, 0.0
18.00000000, 18, 7.048411668461051, 0.0, -1.0246086076931542, 360.0, 0.01925277804807795, 0.0, 0.7789289256959506, 0.0, 0.0
19.00000000, 19, 7.846785782310323, 0.0, -1.0245948995379959, 360.0, 0.018790360509637047, 0.0, 0.8159323686054906, 0.0, 0.0
20.00000000, 20, 8.68168965358764, 0.0, -1.0245736017839335, 360.0, 0.01834870373884714, 0.0, 0.8520328339272647, 0.0, 0.0
21.00000000, 21, 9.55222851152007, 0.0, -1.0245606429062861, 360.0, 0.017960886724307477, 0.0, 0.8872460658454918, 0.0, 0.0
